feat_idx,feat_name,gain_importance
1276,ZFP36L1,0.0
1320,ITGA4,0.0
1344,PIM1,0.0
1386,CLDN9,0.0
1388,CD163,0.0
1343,PKIB,0.0
1340,PI16,0.0
28,CCL4,0.0
1338,RCAN2,0.0
1337,CDC20,0.0
1392,TRGV3,0.0
32,CCL5,0.0
1393,C5orf66-AS1,0.0
1332,EOMES,0.0
1328,MT-ND4L,0.0
1327,LYVE1,0.0
1395,ANXA1,0.0
1396,SPINT2,0.0
1326,MET,0.0
1325,LEF1,0.0
1398,CRLF2,0.0
1324,CDT1,0.0
1400,TNFAIP8L1,0.0
1403,Z93241.1,0.0
1322,PLEKHF1,0.0
1384,ZNF556,0.0
1345,DNAI1,0.0
1346,AC133644.2,0.0
31,CCL2,0.0
1363,MYL9,0.0
1366,ACTN2,0.0
1367,LINC01765,0.0
1368,ATP12A,0.0
1369,MAFA,0.0
1362,IL36G,0.0
1361,HIST2H2BF,0.0
1370,PACRG,0.0
1359,PLS3,0.0
1357,AL672032.1,0.0
1353,SH2D1A,0.0
1381,NTRK1,0.0
1373,FXYD2,0.0
1351,CDKN2B,0.0
1350,DCDC2B,0.0
1349,CA2,0.0
1348,IL23R,0.0
1376,H3F3B,0.0
1377,TNFSF18,0.0
1378,PITX1,0.0
1379,HIST1H2BJ,0.0
1380,MIR3945HG,0.0
1407,LINC02478,0.0
1319,LINC00707,0.0
1279,CRIP2,0.0
1408,NMUR1,0.0
1298,PTTG1,0.0
1432,ALPL,0.0
1433,C4orf47,0.0
1297,XBP1,0.0
1295,SIT1,0.0
1294,MIA,0.0
1293,SPAG8,0.0
1435,CCDC187,0.0
1291,TGM3,0.0
1290,PLAC4,0.0
1288,HPSE,0.0
1287,CD36,0.0
1286,MOV10L1,0.0
1439,CCNA1,0.0
1440,Z82206.1,0.0
1441,UPB1,0.0
1442,FCRLA,0.0
1444,ENHO,0.0
1283,EMP2,0.0
1282,SLC4A1,0.0
1445,AC120193.1,0.0
1281,TENT5C,0.0
1280,CDK1,0.0
1430,METTL27,0.0
1300,SOCS3,0.0
1303,HIST1H2BG,0.0
1313,SKAP1,0.0
1318,LAMP5,0.0
1409,SHISA8,0.0
1410,ADAM19,0.0
1316,FGL2,0.0
1411,AC092484.1,0.0
